Zone,State,Scheme,Month,Visited Accounts,Allocated Accounts,Visit %,Outstanding Amount (Cr),Principal Outstanding (Cr),EMI Amount (Cr),Resolved Accounts
South,Odisha,CCSUV,2023-02,367,828,44.32,39.06,26.11,0.52,55
East,Delhi,VL001,2023-10,223,711,31.36,17.86,13.83,0.28,115
East,Unknown,CCSUV,2023-10,225,574,39.2,37.5,23.44,0.47,180
Pune Zone,Haryana,CCSUV,2023-11,119,319,37.3,69.04,54.88,1.1,86
Pune Zone,Punjab,CHOME,2023-01,272,536,50.75,84.88,75.63,1.51,141
Pune Zone,Jharkhand,CCGEN,2023-09,276,432,63.89,60.11,34.41,0.69,124
East,Unknown,CCGEN,2023-07,496,988,50.2,90.0,71.07,1.42,106
West,Delhi,CCMUD,2023-03,457,639,71.52,47.36,44.6,0.89,250
North,Jharkhand,UMGLP,2023-07,245,308,79.55,42.25,37.24,0.74,91
MMZO Zone,Unknown,UKKGL,2023-07,99,308,32.14,44.66,38.38,0.77,48
East,Jharkhand,LADEP,2023-09,199,266,74.81,45.37,40.48,0.81,125
Central,Odisha,CCSUV,2023-10,331,468,70.73,82.71,60.25,1.21,284
North,Haryana,CCMUD,2023-02,366,494,74.09,71.01,47.13,0.94,72
West,Odisha,CCGEN,2023-06,303,309,98.06,18.51,16.22,0.32,271
West,Bihar,UKKGL,2023-08,411,807,50.93,8.26,7.16,0.14,225
Central,Haryana,TLP12,2023-04,425,805,52.8,37.7,37.42,0.75,111
North,West Bengal,LADEP,2023-06,11,322,3.42,38.16,29.73,0.59,0
South,Jharkhand,CCGEN,2023-11,340,435,78.16,40.16,28.44,0.57,45
Central,Odisha,TLU03,2023-03,27,220,12.27,43.77,41.25,0.83,14
South,Delhi,CCSUV,2023-03,251,484,51.86,94.74,80.14,1.6,100
South,Unknown,CCMUD,2023-09,42,252,16.67,46.29,40.23,0.8,41
West,West Bengal,VL001,2023-09,386,388,99.48,91.45,51.15,1.02,253
West,Punjab,CCMUD,2023-08,297,678,43.81,87.69,85.92,1.72,109
Pune Zone,Odisha,LADEP,2023-06,33,369,8.94,98.28,97.59,1.95,22
MMZO Zone,Punjab,CCSUV,2023-09,110,493,22.31,46.68,28.96,0.58,45
East,Jharkhand,CCMUD,2023-06,458,909,50.39,33.5,22.82,0.46,137
North,Punjab,CHOME,2023-07,171,649,26.35,38.5,22.99,0.46,19
Central,Delhi,CCMUD,2023-10,460,608,75.66,24.79,21.22,0.42,110
North,Bihar,CCSUV,2023-11,269,333,80.78,23.06,21.82,0.44,145
MMZO Zone,Odisha,CCGEN,2023-07,214,339,63.13,7.52,5.66,0.11,39
Hyderabad,Punjab,CHOME,2023-10,495,796,62.19,18.08,12.07,0.24,49
Hyderabad,Punjab,TL009,2023-03,402,780,51.54,19.98,12.07,0.24,113
West,Punjab,CCGEN,2023-07,236,591,39.93,63.98,48.82,0.98,11
West,Odisha,UMGLP,2023-08,94,103,91.26,81.27,72.07,1.44,5
Central,Haryana,TLP12,2023-05,269,513,52.44,48.89,35.02,0.7,111
MMZO Zone,Haryana,TLU03,2023-01,181,464,39.01,62.5,37.31,0.75,8
Pune Zone,Odisha,ODGEN,2023-06,448,729,61.45,52.79,44.52,0.89,164
West,Haryana,LADEP,2023-02,237,423,56.03,44.82,31.28,0.63,12
Pune Zone,Punjab,CCSUV,2023-12,210,286,73.43,9.88,6.56,0.13,68
Pune Zone,Odisha,LADEP,2023-06,87,120,72.5,4.89,4.07,0.08,82
East,Haryana,TLU03,2023-05,76,328,23.17,10.37,9.98,0.2,47
East,Haryana,UMGLP,2023-06,285,494,57.69,80.48,49.5,0.99,80
East,Delhi,VL001,2023-01,61,393,15.52,16.19,11.45,0.23,31
East,Bihar,VL001,2023-11,434,715,60.7,2.24,1.89,0.04,12
West,Jharkhand,CCMUD,2023-12,110,343,32.07,80.95,71.78,1.44,70
MMZO Zone,Punjab,TLP12,2023-01,262,732,35.79,32.96,23.86,0.48,203
Pune Zone,Punjab,UMGLP,2023-08,13,416,3.12,27.18,25.41,0.51,11
Hyderabad,Jharkhand,UMGLP,2023-08,230,589,39.05,17.05,9.12,0.18,91
Central,Punjab,CCGEN,2023-07,420,566,74.2,6.14,3.07,0.06,181
Hyderabad,Odisha,TL009,2023-12,305,786,38.8,60.67,38.09,0.76,299
South,Punjab,VL001,2023-12,284,361,78.67,90.65,53.02,1.06,139
Central,Delhi,CCMUD,2023-10,358,462,77.49,99.34,62.55,1.25,261
MMZO Zone,Odisha,CCMUD,2023-09,327,608,53.78,66.74,35.61,0.71,321
North,Punjab,ODGEN,2023-10,14,373,3.75,48.15,25.96,0.52,13
North,Odisha,CCSUV,2023-02,346,661,52.34,75.91,41.57,0.83,272
East,West Bengal,VL001,2023-04,157,214,73.36,33.34,26.07,0.52,41
MMZO Zone,Punjab,UMGLP,2023-08,243,616,39.45,36.44,35.36,0.71,99
Hyderabad,Odisha,TL009,2023-04,233,510,45.69,81.74,43.19,0.86,136
South,West Bengal,TLP12,2023-11,360,685,52.55,19.74,19.63,0.39,360
South,West Bengal,ODGEN,2023-02,23,477,4.82,37.96,21.5,0.43,3
Pune Zone,Odisha,VL001,2023-06,131,415,31.57,95.22,52.23,1.04,58
South,Bihar,CHOME,2023-10,119,407,29.24,13.99,12.66,0.25,8
South,Delhi,TL009,2023-01,71,161,44.1,29.47,20.64,0.41,29
East,Odisha,TLP12,2023-10,420,690,60.87,69.33,64.95,1.3,88
East,Delhi,ODGEN,2023-02,453,505,89.7,36.2,25.6,0.51,245
Hyderabad,Rajasthan,UMGLP,2023-06,100,506,19.76,84.55,45.36,0.91,29
