LoanID,UserID,LoanScheme,LoanAmount,InterestRate,TenureYears
1,1,Personal Loan,1605144,7.75,8
2,2,Personal Loan,1469141,12.41,18
3,2,Personal Loan,1288352,9.22,1
4,2,Personal Loan,508517,7.33,20
5,3,Home Loan,1551601,11.5,18
6,3,Education Loan,512297,9.49,9
7,3,Personal Loan,1641334,13.06,23
8,4,Car Loan,376064,7.15,25
9,4,Car Loan,264350,5.93,4
10,5,Business Loan,604740,13.07,24
11,5,Education Loan,1174551,6.25,30
12,6,Business Loan,664839,13.29,20
13,7,Home Loan,1527594,5.7,22
14,7,Home Loan,1671241,7.89,3
15,7,Home Loan,1867147,6.01,9
16,8,Car Loan,391110,8.7,7
17,8,Car Loan,1521823,14.37,21
18,8,Personal Loan,1327440,11.35,18
19,9,Home Loan,1019429,8.79,30
20,10,Business Loan,510566,11.85,27
21,10,Personal Loan,530348,13.22,26
22,10,Car Loan,891303,7.68,7
23,11,Car Loan,495910,11.55,13
24,11,Education Loan,349623,7.65,8
25,11,Business Loan,1180317,7.63,19
26,12,Education Loan,809161,7.19,5
27,12,Business Loan,1084977,5.91,2
28,12,Personal Loan,370531,11.27,26
29,13,Business Loan,183227,8.85,20
30,13,Education Loan,1159633,7.51,18
31,14,Personal Loan,1479650,13.85,25
32,14,Car Loan,1661868,11.41,4
33,14,Car Loan,961768,6.58,1
34,15,Car Loan,1099805,12.62,17
35,15,Personal Loan,1875609,11.25,27
36,15,Business Loan,1327103,6.99,12
37,16,Business Loan,1976220,5.01,11
38,16,Education Loan,90845,6.12,12
39,16,Car Loan,552167,5.58,29
40,17,Personal Loan,1584921,9.86,3
41,18,Home Loan,1433597,9.75,18
42,19,Business Loan,1879624,11.07,7
43,19,Business Loan,1633905,12.3,7
44,20,Education Loan,1458629,11.5,15
45,20,Business Loan,996835,6.21,8
46,21,Personal Loan,1283772,10.54,19
47,21,Home Loan,65080,5.71,21
48,22,Personal Loan,1948803,5.31,11
49,23,Home Loan,634009,11.69,7
50,23,Business Loan,327478,12.23,29
51,23,Business Loan,1258403,9.73,26
52,24,Home Loan,247815,5.97,14
53,24,Car Loan,938308,9.11,28
54,25,Personal Loan,177113,9.03,11
55,26,Home Loan,448896,10.36,5
56,27,Car Loan,1020201,7.5,30
57,28,Business Loan,255329,5.51,18
58,28,Personal Loan,245586,14.26,28
59,29,Education Loan,1068463,9.81,28
60,30,Home Loan,844764,5.02,13
61,31,Car Loan,937110,11.97,24
62,31,Business Loan,1438044,12.18,5
63,32,Home Loan,172648,10.79,18
64,32,Personal Loan,1618618,8.14,2
65,33,Business Loan,1978094,13.53,6
66,33,Personal Loan,1114993,5.8,6
67,34,Personal Loan,1466023,13.62,13
68,34,Personal Loan,1917067,10.7,19
69,34,Business Loan,133344,11.19,14
70,35,Business Loan,1146354,8.16,9
71,35,Home Loan,1454517,12.16,8
72,35,Car Loan,880023,6.31,21
73,36,Car Loan,1998292,12.52,3
74,36,Personal Loan,1011094,11.21,19
75,37,Business Loan,497016,10.06,5
76,38,Home Loan,824954,7.85,15
77,39,Car Loan,1332781,14.84,26
78,39,Business Loan,66406,11.68,18
79,39,Car Loan,1441226,6.04,29
80,40,Personal Loan,1915862,6.07,18
81,40,Home Loan,621155,7.82,7
82,41,Home Loan,1491785,11.34,9
83,41,Business Loan,1074525,7.51,30
84,42,Education Loan,1789269,7.77,1
85,43,Car Loan,388861,12.41,18
86,44,Business Loan,70278,6.12,29
87,44,Home Loan,1194185,5.36,12
88,45,Home Loan,951328,6.27,10
89,45,Car Loan,1935300,14.33,28
90,45,Personal Loan,1935181,8.58,22
91,46,Personal Loan,791717,12.8,29
92,46,Education Loan,1351621,12.49,30
93,46,Home Loan,1863209,6.63,26
94,47,Personal Loan,426146,12.37,11
95,47,Education Loan,1732409,11.7,24
96,48,Home Loan,1701244,12.01,13
97,48,Personal Loan,1850600,9.71,7
98,49,Car Loan,1770789,12.95,8
99,49,Home Loan,99627,11.6,13
100,50,Personal Loan,1671783,7.79,21
101,50,Business Loan,888186,11.8,27
102,51,Personal Loan,291889,13.77,9
103,51,Home Loan,1267584,14.63,9
104,52,Business Loan,961346,8.46,26
105,53,Business Loan,1122531,6.16,29
106,53,Business Loan,448624,7.55,23
107,54,Business Loan,1991071,13.07,22
108,55,Home Loan,813827,9.31,22
109,55,Car Loan,1356851,8.14,28
110,55,Personal Loan,1559434,14.0,17
111,56,Education Loan,734055,9.02,10
112,56,Business Loan,316941,6.92,22
113,56,Education Loan,1470438,12.48,6
114,57,Car Loan,901601,10.48,1
115,57,Car Loan,651701,7.1,26
116,57,Business Loan,1322261,11.55,15
117,58,Home Loan,1122009,9.73,29
118,58,Home Loan,1431710,5.85,17
119,59,Business Loan,752940,5.93,25
120,59,Home Loan,1460954,8.1,26
121,59,Home Loan,359023,5.24,8
122,60,Personal Loan,1005076,9.14,21
123,60,Business Loan,457760,12.18,13
124,60,Education Loan,888132,7.44,21
125,61,Personal Loan,1682465,9.25,6
126,62,Education Loan,155315,10.57,30
127,62,Personal Loan,1007269,6.33,15
128,62,Business Loan,1222151,10.95,25
129,63,Business Loan,944940,13.31,18
130,63,Education Loan,1931581,6.59,28
131,63,Education Loan,993864,7.59,8
132,64,Business Loan,1066273,11.27,9
133,64,Education Loan,212494,12.14,8
134,65,Car Loan,1922813,10.4,5
135,65,Home Loan,534990,8.83,5
136,66,Personal Loan,920041,9.08,18
137,67,Personal Loan,483763,13.33,13
138,67,Business Loan,1508617,5.2,29
139,68,Education Loan,62364,14.43,10
140,68,Education Loan,1839810,13.92,27
141,69,Business Loan,1727445,11.03,8
142,69,Education Loan,510160,7.73,16
143,69,Personal Loan,865492,8.36,22
144,70,Home Loan,1812668,9.67,5
145,70,Business Loan,1170138,5.27,13
146,70,Business Loan,1233615,11.63,3
147,71,Home Loan,1867919,9.62,2
148,71,Car Loan,845038,8.27,15
149,72,Education Loan,633546,12.52,27
150,72,Education Loan,579051,13.35,16
151,73,Business Loan,159231,15.0,12
152,73,Home Loan,1413450,5.69,21
153,73,Personal Loan,1631741,5.31,8
154,74,Business Loan,369568,7.39,16
155,75,Business Loan,507104,9.65,9
156,76,Business Loan,1323490,14.64,23
157,77,Car Loan,276699,10.79,30
158,78,Education Loan,881844,14.41,7
159,78,Personal Loan,1291719,11.91,21
160,78,Home Loan,263702,11.97,10
161,79,Personal Loan,1719809,14.84,26
162,79,Personal Loan,778139,10.33,22
163,79,Car Loan,194612,10.06,11
164,80,Education Loan,271331,9.34,12
165,80,Education Loan,1533333,6.53,6
166,81,Car Loan,1341661,13.08,18
167,81,Education Loan,1024910,9.36,24
168,81,Business Loan,612866,8.22,8
