loan_id,loan_amount,funded_amount,interest_rate,annual_income,loan_status,grade,purpose,term,emp_length,dti,issue_date
LN0001,16795,12705,18.26,86775,Fully Paid,D,Education,36,< 1 year,10.71,2015-01-01
LN0002,1860,44408,21.57,157638,Fully Paid,F,Education,60,10+ years,11.81,2015-01-01
LN0003,39158,29047,19.75,105311,Charged Off,G,Vacation,60,1-3 years,15.0,2015-01-02
LN0004,45732,11966,15.57,73149,Charged Off,D,Debt Consolidation,60,1-3 years,16.87,2015-01-02
LN0005,12284,18374,10.02,154078,Current,D,Vacation,60,< 1 year,22.36,2015-01-03
LN0006,7265,12138,12.64,92561,Charged Off,A,Education,36,1-3 years,37.93,2015-01-04
LN0007,17850,16935,18.11,170495,Fully Paid,D,Home Improvement,36,3-5 years,9.89,2015-01-04
LN0008,38194,46913,21.3,110710,Charged Off,A,Medical,36,3-5 years,31.17,2015-01-05
LN0009,22962,1489,24.49,112199,Charged Off,E,Education,60,1-3 years,27.06,2015-01-06
LN0010,48191,45516,24.18,185024,Charged Off,E,Vacation,36,< 1 year,4.64,2015-01-06
LN0011,45131,23260,29.32,47326,Charged Off,F,Home Improvement,36,3-5 years,32.42,2015-01-07
LN0012,17023,27069,12.15,137272,Fully Paid,C,Home Improvement,36,1-3 years,3.62,2015-01-08
LN0013,42090,20275,6.78,51139,Fully Paid,D,Education,60,5-10 years,29.56,2015-01-08
LN0014,2685,37284,13.64,93638,Charged Off,E,Debt Consolidation,36,3-5 years,28.63,2015-01-09
LN0015,1769,40178,23.58,92652,Fully Paid,E,Home Improvement,60,10+ years,27.58,2015-01-10
LN0016,3433,33821,15.95,32937,Fully Paid,G,Medical,60,3-5 years,11.07,2015-01-10
LN0017,6311,17999,25.44,50161,Charged Off,F,Vacation,60,1-3 years,22.93,2015-01-11
LN0018,38819,39712,18.73,155455,Fully Paid,B,Vacation,60,1-3 years,30.46,2015-01-12
LN0019,40188,41172,28.24,105856,Fully Paid,B,Vacation,60,1-3 years,25.5,2015-01-12
LN0020,18568,34722,28.7,90043,Fully Paid,F,Education,36,< 1 year,32.17,2015-01-13
LN0021,20769,11625,6.73,165807,Charged Off,A,Vacation,60,< 1 year,27.52,2015-01-14
LN0022,29693,2629,16.41,79919,Fully Paid,C,Vacation,60,5-10 years,10.98,2015-01-14
LN0023,7396,11973,20.24,102055,Charged Off,G,Medical,60,5-10 years,6.12,2015-01-15
LN0024,28480,7859,11.4,105455,Fully Paid,G,Debt Consolidation,36,3-5 years,25.28,2015-01-16
LN0025,42434,42609,15.18,188694,Fully Paid,F,Education,36,1-3 years,30.39,2015-01-16
LN0026,26658,44307,21.94,58135,Fully Paid,B,Education,36,5-10 years,5.69,2015-01-17
LN0027,19942,46450,10.67,186730,Charged Off,C,Vacation,36,1-3 years,6.99,2015-01-18
LN0028,19431,37046,20.05,104677,Fully Paid,E,Medical,60,3-5 years,0.48,2015-01-18
LN0029,3747,22839,22.44,49696,Current,F,Home Improvement,60,< 1 year,21.27,2015-01-19
LN0030,1189,28216,7.26,154845,Current,A,Vacation,36,5-10 years,21.69,2015-01-20
LN0031,20118,19945,17.44,44956,Charged Off,C,Vacation,60,10+ years,20.0,2015-01-20
LN0032,36773,7539,11.58,35819,Current,B,Education,36,10+ years,12.64,2015-01-21
LN0033,2899,34625,23.11,21528,Fully Paid,E,Education,36,10+ years,17.11,2015-01-22
LN0034,2267,5886,9.74,147781,Fully Paid,F,Vacation,36,10+ years,30.65,2015-01-22
LN0035,32551,46713,27.31,106491,Charged Off,G,Education,60,10+ years,7.27,2015-01-23
LN0036,12394,8485,15.77,64588,Charged Off,D,Medical,36,10+ years,8.06,2015-01-24
LN0037,4556,32455,9.95,119152,Charged Off,G,Home Improvement,36,10+ years,26.68,2015-01-24
LN0038,4890,47448,15.95,147872,Charged Off,G,Home Improvement,60,5-10 years,34.68,2015-01-25
LN0039,42606,17767,15.22,171583,Current,E,Home Improvement,60,10+ years,13.62,2015-01-25
LN0040,31740,48165,15.72,30119,Fully Paid,B,Vacation,60,10+ years,37.31,2015-01-26
LN0041,15502,29453,19.64,95893,Charged Off,F,Vacation,60,3-5 years,2.31,2015-01-27
LN0042,22777,11744,18.03,36167,Charged Off,B,Vacation,60,5-10 years,4.74,2015-01-27
LN0043,11627,38102,8.74,130782,Charged Off,D,Medical,60,3-5 years,18.4,2015-01-28
LN0044,9792,13226,6.64,150775,Fully Paid,G,Home Improvement,36,1-3 years,28.94,2015-01-29
LN0045,44323,28869,23.24,54889,Charged Off,E,Education,60,10+ years,14.83,2015-01-29
LN0046,44021,23588,18.99,65678,Current,C,Education,60,< 1 year,22.19,2015-01-30
LN0047,9433,14440,13.98,80262,Fully Paid,C,Debt Consolidation,60,10+ years,1.14,2015-01-31
LN0048,44001,32709,25.21,155753,Charged Off,E,Debt Consolidation,36,10+ years,18.47,2015-01-31
LN0049,12016,48788,14.7,100291,Fully Paid,C,Education,60,3-5 years,9.7,2015-02-01
LN0050,24897,23495,24.9,86008,Current,G,Home Improvement,36,1-3 years,20.65,2015-02-02
LN0051,3612,38019,12.64,164762,Fully Paid,F,Vacation,36,3-5 years,21.03,2015-02-02
LN0052,24483,45948,6.82,45912,Fully Paid,E,Education,36,5-10 years,30.13,2015-02-03
LN0053,49555,49908,28.32,26473,Fully Paid,E,Education,36,1-3 years,21.59,2015-02-04
LN0054,18159,1922,14.86,192370,Charged Off,B,Debt Consolidation,60,1-3 years,24.57,2015-02-04
LN0055,45974,28526,24.82,169741,Fully Paid,A,Home Improvement,60,1-3 years,21.19,2015-02-05
LN0056,41994,8957,11.98,119500,Charged Off,B,Education,60,3-5 years,39.62,2015-02-06
LN0057,15541,49564,21.16,172015,Current,C,Vacation,60,10+ years,31.66,2015-02-06
LN0058,36920,34998,26.83,58785,Charged Off,A,Vacation,60,10+ years,30.23,2015-02-07
LN0059,27531,44395,6.04,120956,Fully Paid,E,Medical,60,10+ years,25.09,2015-02-08
LN0060,2585,25031,25.77,139006,Current,C,Vacation,36,10+ years,21.13,2015-02-08
LN0061,4943,11006,19.28,30832,Charged Off,D,Education,36,10+ years,13.79,2015-02-09
LN0062,24939,38701,20.19,156457,Fully Paid,C,Education,60,5-10 years,31.36,2015-02-10
LN0063,20457,48063,18.08,165780,Fully Paid,A,Vacation,60,< 1 year,7.58,2015-02-10
LN0064,2021,26939,26.86,174510,Fully Paid,A,Debt Consolidation,60,1-3 years,1.46,2015-02-11
LN0065,12653,21324,6.09,102747,Charged Off,E,Home Improvement,60,< 1 year,27.93,2015-02-12
LN0066,44573,23867,11.53,100107,Fully Paid,F,Education,60,5-10 years,5.79,2015-02-12
LN0067,14417,1203,26.89,85428,Fully Paid,D,Vacation,60,10+ years,36.15,2015-02-13
LN0068,41757,17544,23.81,106843,Charged Off,E,Vacation,36,5-10 years,30.83,2015-02-14
LN0069,10692,16899,5.44,31002,Fully Paid,D,Education,36,5-10 years,24.09,2015-02-14
LN0070,46758,30063,17.93,187225,Charged Off,D,Medical,60,< 1 year,12.56,2015-02-15
LN0071,7873,26344,18.24,173512,Charged Off,E,Home Improvement,60,1-3 years,25.52,2015-02-16
LN0072,6675,4748,15.02,87501,Fully Paid,G,Education,60,3-5 years,19.07,2015-02-16
LN0073,1161,40486,12.43,52556,Charged Off,C,Vacation,36,3-5 years,11.65,2015-02-17
LN0074,38065,2093,22.04,87963,Fully Paid,B,Medical,36,1-3 years,37.8,2015-02-17
LN0075,27557,16228,10.19,26563,Fully Paid,D,Education,36,10+ years,6.48,2015-02-18
LN0076,34763,21884,24.97,25840,Charged Off,G,Home Improvement,36,5-10 years,30.14,2015-02-19
LN0077,33606,26183,25.08,35154,Fully Paid,A,Medical,36,10+ years,32.0,2015-02-19
LN0078,12534,17034,15.38,44194,Current,E,Vacation,60,5-10 years,38.07,2015-02-20
LN0079,30127,6710,12.09,197933,Fully Paid,F,Debt Consolidation,60,3-5 years,21.98,2015-02-21
LN0080,41397,43500,12.1,173520,Fully Paid,G,Home Improvement,36,1-3 years,21.4,2015-02-21
LN0081,26851,20259,17.06,43528,Current,C,Medical,60,< 1 year,36.81,2015-02-22
LN0082,2016,36959,22.99,180474,Fully Paid,G,Education,36,< 1 year,32.04,2015-02-23
LN0083,25253,34457,13.97,24352,Charged Off,D,Education,36,1-3 years,30.55,2015-02-23
LN0084,25276,21143,20.25,20184,Fully Paid,F,Medical,36,3-5 years,31.57,2015-02-24
LN0085,24247,3103,14.56,161456,Charged Off,G,Education,60,5-10 years,19.73,2015-02-25
LN0086,25300,1365,12.61,34319,Fully Paid,C,Medical,60,< 1 year,1.66,2015-02-25
LN0087,9529,47778,5.62,140497,Fully Paid,G,Home Improvement,60,3-5 years,7.93,2015-02-26
LN0088,18262,45535,5.1,171521,Fully Paid,E,Education,60,1-3 years,25.72,2015-02-27
LN0089,10268,17103,10.68,76333,Fully Paid,F,Home Improvement,60,10+ years,15.85,2015-02-27
LN0090,22271,33510,15.16,61205,Charged Off,A,Vacation,36,3-5 years,24.27,2015-02-28
LN0091,13185,25476,26.28,30426,Fully Paid,D,Vacation,36,3-5 years,22.07,2015-03-01
LN0092,22243,13742,24.96,27504,Fully Paid,D,Vacation,36,10+ years,17.55,2015-03-01
LN0093,40099,13391,11.68,136775,Fully Paid,F,Vacation,60,3-5 years,9.39,2015-03-02
LN0094,9571,37940,11.11,53368,Charged Off,C,Education,60,< 1 year,28.76,2015-03-03
LN0095,40976,29901,10.68,123841,Charged Off,E,Medical,60,< 1 year,36.36,2015-03-03
LN0096,39044,33001,13.48,136744,Fully Paid,G,Education,36,< 1 year,30.8,2015-03-04
